"",name,region,variety,rating,notes
9917,Charles Smith Wines The Skull Syrah 2005,"Columbia Valley, Washington",Red Wine,98,100% Royal Slope Syrah
9965,Chateau Angelus (1.5 Liter Magnum) 2000,"St. Emilion, Bordeaux, France",Red Wine,97,"The 2000 Chateau Angelus is a blackish-purple colored wine that exhibits aromas of blackberies, plums and blackcurrants with delicate smoky notes and licorice. There is volume on the palate, phenominal concentration and a magnificent tannic strcture. The balance between richness and acidity brings great freshness. "
9973,Chateau Angelus 2003,"St. Emilion, Bordeaux, France",Red Wine,99, 
9983,Chateau Angelus 6-Pack OWC (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,98,"Magnificient freshness in the Merlot, a selection of very old Cabernet Franc planted on clay-limestone soils and gentle extraction during vinification have combined to make this vintage a very great Chateau Angelus. A lovely depth of color attracts the eye. Perfect aromatic purity (the  fruit of precision work on a daily basis), together with notes of black fruit give great charm on the nose. On the palate, a sweet note gives way to elegant tension with refined, velvety tannins. The alcohol (below that of 2010) and the oak are perfectly integrated. The finish is lingering, underpinned by the elegance of the Cabernet Franc, by the purity of the fruit, and accompanied by delicate spicy notes.  "
9984,Chateau Angelus 6-Pack OWC (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,99,"This 2019 vintage, made while the estate was undergoing conversion to organic-farming status, turned out to be easier to manage than the 2018, which was a vintage that ended up superbly but which caused worries and tensions. In this vintage, the Merlot has given our wine an opulent texture and succulent fruit, while our Cabernet Franc has brought freshness and tension. We chose to vinify with delicate extractions in order to preserve the brightness of the wine’s character and the purity of its fruit. The barrel-ageing process is ongoing, and the wine seems to be absorbing the tannins of the oak barrels without losing any of its bright fruit character or its balance. It possesses the depth, balance, tension and energy to be a vintage of great complexity and have an ageing potential worthy of the greatest years."
9985,Chateau Angelus (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,98,"Magnificient freshness in the Merlot, a selection of very old Cabernet Franc planted on clay-limestone soils and gentle extraction during vinification have combined to make this vintage a very great Chateau Angelus. A lovely depth of color attracts the eye. Perfect aromatic purity (the  fruit of precision work on a daily basis), together with notes of black fruit give great charm on the nose. On the palate, a sweet note gives way to elegant tension with refined, velvety tannins. The alcohol (below that of 2010) and the oak are perfectly integrated. The finish is lingering, underpinned by the elegance of the Cabernet Franc, by the purity of the fruit, and accompanied by delicate spicy notes.  "
9986,Chateau Angelus (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,99,"This 2019 vintage, made while the estate was undergoing conversion to organic-farming status, turned out to be easier to manage than the 2018, which was a vintage that ended up superbly but which caused worries and tensions. In this vintage, the Merlot has given our wine an opulent texture and succulent fruit, while our Cabernet Franc has brought freshness and tension. We chose to vinify with delicate extractions in order to preserve the brightness of the wine’s character and the purity of its fruit. The barrel-ageing process is ongoing, and the wine seems to be absorbing the tannins of the oak barrels without losing any of its bright fruit character or its balance. It possesses the depth, balance, tension and energy to be a vintage of great complexity and have an ageing potential worthy of the greatest years."
9996,Chateau Ausone 2016,"St. Emilion, Bordeaux, France",Red Wine,99,"Blend: 50% Merlot, 50% Cabernet Franc"
10039,Chateau Beausejour Duffau-Lagarrosse (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,98,The Barrel Sample for this wine is above 14% ABV. 
10064,Chateau Bellevue Mondotte 2005,"St. Emilion, Bordeaux, France",Red Wine,97,"The wine's color is reminiscent of black cherries, a sign of perfect youth. Its aromas are an elegant association of fresh and jammy black fruit; careful aging has added a fine, charming woodiness and additional grilled notes of toasted bread. On the palate the attack is fresh, and young, tight tannins are well-incorporated into the wine's body. The tannins will develop with time, but for now they are nicely balanced with the wine's fresh, nervous acidity. The mid-palate is opulent, with a texture that reflects the wine's spirited style. The finish is still dominated by young tannins, and is very long, flavorful and refined. Although this wine will offer great pleasure in several years, it has an incredible potential to age well into the future."
10072,Chateau Bellevue Mondotte St. Emilion 2005,"St. Emilion, Bordeaux, France",Red Wine,97,"The wine's color is reminiscent of black cherries, a sign of perfect youth. Its aromas are an elegant association of fresh and jammy black fruit; careful aging has added a fine, charming woodiness and additional grilled notes of toasted bread. On the palate the attack is fresh, and young, tight tannins are well-incorporated into the wine's body. The tannins will develop with time, but for now they are nicely balanced with the wine's fresh, nervous acidity. The mid-palate is opulent, with a texture that reflects the wine's spirited style. The finish is still dominated by young tannins, and is very long, flavorful and refined. Although this wine will offer great pleasurein several years, it has an incredible potential to age well into the future."
10175,Chateau Calon-Segur (Futures Pre-Sale) 2019,"St. Estephe, Bordeaux, France",Red Wine,97,"The vintage 2019 was born under favorable auspices. The dry and warm summer conditions remind us of the Great Vintage 2018. The hydric pressure allowed us to reach remarkable levels of maturity on each one of our varieties. With an exceptional sanitary state, the merlots were collected from September 24thto 28th and the entirety of Cabernets, Sauvignon and Franc as well as the Petit Verdot between September 30th and October 9th.This vintage offers once more a complex aromatic palette, floral and fruity, with a freshness going along with silky, refined and elegant tannins. A new vintage at competition with 2016 and 2018… "
10201,Chateau Canon 6-Pack OWC (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,97,"2018 is vibrant from the first nose thanks to its brilliant fruit. An aromatic explosion that mingles aromas of cherries with delicious notes of marzipan. Minty notes of cedar and rose provide a burst of freshness. Carried by this ethereal balance, the wine then reveals its depth and density. It is full-blooded and full-bodied, yet always elegant. The palate is broad, the tannins refined and silky. It possesses the delectable tangy sweetness of a Bakewell tart. This 2018 shows all the power and grace of a prima ballerina, lost in her art. "
10203,Chateau Canon La Gaffeliere (1.5 Liter Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 49% Merlot, 39% Cabernet Franc, 12% Cabernet Sauvignon"
10215,Chateau Canon La Gaffeliere 6-Pack OWC (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 49% Merlot, 39% Cabernet Franc, 12% Cabernet Sauvignon"
10217,Chateau Canon La Gaffeliere (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 49% Merlot, 39% Cabernet Franc, 12% Cabernet Sauvignon"
10307,Chateau Cheval Blanc (1.5 Liter Magnum) 2015,"St. Emilion, Bordeaux, France",Red Wine,98,"2015 is a dry vintage, hot early in the year, then fresh on maturation. The harvest was of historical homogeneity, leading the estate not to produce Petit Cheval. The wines of 2015 are remarkably harmonious and balanced. "
10308,Chateau Cheval Blanc (1.5 Liter Magnum) 2016,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 59% Merlot, 38% Cabernet Franc, 3% Cabernet Sauvignon "
10317,Chateau Cheval Blanc 2015,"St. Emilion, Bordeaux, France",Red Wine,98,"2015 is a dry vintage, hot early in the year, then fresh on maturation. The harvest was of historical homogeneity, leading the estate not to produce Petit Cheval. The wines of 2015 are remarkably harmonious and balanced. "
10318,Chateau Cheval Blanc 2016,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 59% Merlot, 38% Cabernet Franc, 3% Cabernet Sauvignon "
10319,Chateau Cheval Blanc 6-Pack OWC (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,98,"Deep, intense red color. The nose is redolent of tremendously fruity and floral notes, with touches of raspberry and violet. Swirling in the glass reveals a more intense bouquet with black cherry, blackberry and blackcurrant aromas. The ever-present floral notes go on to develop rose and lilac overtones. Spicy and balsamic nuances round off the already complex bouquet with cocoa beans and black pepper aromas. The nose is impressively fresh, complex, and well-defined. The wine starts out sumptuously rich and full-bodied on the palate. The powerful rich tannins contribute to the deep, long, firm, well-balanced, and refined structure. Very elegant, it coats the palate and continues into a long, crunchy, fresh aftertaste. The finish marks a return to floral and fruity aromas with spicy overtones. The precision and balance of this wine are on par with the estate's greatest vintages. "
10321,Chateau Cheval Blanc (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,98,"Deep, intense red color. The nose is redolent of tremendously fruity and floral notes, with touches of raspberry and violet. Swirling in the glass reveals a more intense bouquet with black cherry, blackberry and blackcurrant aromas. The ever-present floral notes go on to develop rose and lilac overtones. Spicy and balsamic nuances round off the already complex bouquet with cocoa beans and black pepper aromas. The nose is impressively fresh, complex, and well-defined. The wine starts out sumptuously rich and full-bodied on the palate. The powerful rich tannins contribute to the deep, long, firm, well-balanced, and refined structure. Very elegant, it coats the palate and continues into a long, crunchy, fresh aftertaste. The finish marks a return to floral and fruity aromas with spicy overtones. The precision and balance of this wine are on par with the estate's greatest vintages. "
10373,Chateau Clinet 2015,"Pomerol, Bordeaux, France",Red Wine,97,"This vintage presents a beautiful appearance, a velvety texture and complex aromas of fruit (forest fruits, tangy raspberry) and spices(Malabar pepper, liquorice). A finish which grows in intensity whilstremaining flavoursome. A very distinguished wine whose softness is met with elegance and freshness."
10375,Chateau Clinet (6-Pack OWC Futures Pre-Sale) 2019,"Pomerol, Bordeaux, France",Red Wine,97,"A vintage ranked among the very best. This decade has produced a number of powerful, voluptuous vintages (2010, 2016, 2018) and 2019 is no exception. Château Clinet 2019 remains true to the unique style of Clinet. With a greater presence in the blend than in previous vintages, the Cabernet Sauvignon helps to shape a wine that displays freshness, tension, structure and elegance."
10400,Chateau Cos d'Estournel (1.5 Liter Futures Pre-Sale) 2019,"St. Estephe, Bordeaux, France",Red Wine,98,"Silky, delicate and immensely profound, the 2019 vintage embodies the quintessence of Cos d’Estournel. Multi-faceted, it delivers aromas of cinnamon and jasmine alongside fine mineral notes and a touch of spice that perfectly structures the wine through its finish. A dazzling expression of the estate’s terroir, exceptional and full of grace, Cos d’Estournel 2019 is an alluring vintage with universal appeal that promises many wonderful years of cellaring."
10405,Chateau Cos d'Estournel (1.5 Liter Magnum) 2018,"St. Estephe, Bordeaux, France",Red Wine,97,"Finely structured and vibrant, Cos d'Estournel 2018 is both powerful and balanced, with very soft tannins. It offers a multitude of nuances, including remarkably elegant spices and an extremely long and lingering finish. It is an outstanding vintage with immense cellaring potential that will surley count among the most legendary vintages of the estate. "
10423,Chateau Cos d'Estournel 2018,"St. Estephe, Bordeaux, France",Red Wine,97,"Finely structured and vibrant, Cos d'Estournel 2018 is both powerful and balanced, with very soft tannins. It offers a multitude of nuances, including remarkably elegant spices and an extremely long and lingering finish. It is an outstanding vintage with immense cellaring potential that will surley count among the most legendary vintages of the estate. "
10428,Chateau Cos d'Estournel 6-Pack OWC (Futures Pre-Sale) 2019,"St. Estephe, Bordeaux, France",Red Wine,98,"Silky, delicate and immensely profound, the 2019 vintage embodies the quintessence of Cos d’Estournel. Multi-faceted, it delivers aromas of cinnamon and jasmine alongside fine mineral notes and a touch of spice that perfectly structures the wine through its finish. A dazzling expression of the estate’s terroir, exceptional and full of grace, Cos d’Estournel 2019 is an alluring vintage with universal appeal that promises many wonderful years of cellaring."
10432,Chateau Cos d'Estournel (Futures Pre-Sale) 2019,"St. Estephe, Bordeaux, France",Red Wine,98,"Silky, delicate and immensely profound, the 2019 vintage embodies the quintessence of Cos d’Estournel. Multi-faceted, it delivers aromas of cinnamon and jasmine alongside fine mineral notes and a touch of spice that perfectly structures the wine through its finish. A dazzling expression of the estate’s terroir, exceptional and full of grace, Cos d’Estournel 2019 is an alluring vintage with universal appeal that promises many wonderful years of cellaring."
10458,Chateau Coutet (375ML Futures Pre-Sale) 2019,"Barsac, Bordeaux, France",,97,"The tasting of the 2019 vintage brings out Coutet's signature nose, marked by notes of pear, ginger and exotic fruits. The palate is particularly fresh this year, offering a very modern Coutet."
10555,Chateau de Beaucastel Chateauneuf-du-Pape 2018,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"The 2018 Chateau de Beaucastel red has an elegant deep ruby-red colour. The powerful and elegant nose offers superb notes of spices, cherries and cocoa. Elegantly and perfectly balanced, the mouth reveals a beautiful dense structure with fine tannins and complex aromas of red fruit such as blackcurrants and floral notes. The finish is very long and harmonious. A very sophisticated wine, signature of Beaucastel’s style."
10566,Chateau de Beaucastel Chateauneuf-du-Pape (375ML half-bottle) 2018,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"The 2018 Chateau de Beaucastel red has an elegant deep ruby-red colour. The powerful and elegant nose offers superb notes of spices, cherries and cocoa. Elegantly and perfectly balanced, the mouth reveals a beautiful dense structure with fine tannins and complex aromas of red fruit such as blackcurrants and floral notes. The finish is very long and harmonious. A very sophisticated wine, signature of Beaucastel’s style."
10580,Chateau de Beaucastel Chateauneuf-du-Pape (signs of seepage) 1989,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,An exceptional vintage for Mourvedre. A hot summer with warm nights until the end of the harvest. 
10590,Chateau de Beaucastel Chateauneuf-du-Pape Vieilles Vignes Roussanne 2015,"Chateauneuf-du-Pape, Rhone, France",White Wine,97,"A beautiful bright yellow color with green highlights. The nose is discreet, stylish and elegant, with notes of rose petals and beeswax. In the mouth the wine grows and turns right, with notes of gingerbread, cinnamon, close and white pepper. The finish is beautifully balanced between salinity and minerality."
10591,Chateau de Beaucastel Chateauneuf-du-Pape Vieilles Vignes Roussanne 2017,"Chateauneuf-du-Pape, Rhone, France",White Wine,99,"Very beautiful golden colour with shiny reflections. On the nose, this wine offers notes of quince, lime and roasted pineapple. Very elegant on the palate, delicately oaky with an opulent texture, it reveals aromas of white flowers such as acacia and honeysuckle, honey and citrus zest. The finish is exceptionally long and salty."
10610,Chateau de Beaucastel Hommage Jacques Perrin Chateauneuf-du-Pape (1.5L) 2001,"Chateauneuf-du-Pape, Rhone, France",Red Wine,99,"""The 2001 Chateauneuf du Pape Hommage a Jacques Perrin is a blend of 60% Mourvedre, 20% Grenache, 10% Counoise, and 10% Syrah. Full-bodied, excruciatingly backward, and nearly impenetrable, it boasts an inky/blue/purple color in addition to a promising nose of new saddle leather, melted asphalt, camphor, blackberries, smoky, roasted herbs, and Asian spices. A huge lashing of tannin as well as a formidable structure result in the antithesis of its more flattering, forward, and voluptuous sibling, the classic Beaucastel. Readers lucky enough to come across this cuvee should plan on waiting at least a decade before it begins to approach adolescence. Anticipated maturity: 2012-2040."""
10612,Chateau de Beaucastel Hommage Jacques Perrin Chateauneuf-du-Pape 2000,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"The Château de Beaucastel Hommage à Jacques Perrin from those years was made mostly from very old Mourvedre vines yielding tiny quantities of intensely ripe, concentrated fruit. Those fortunate enough to have tasted it never forget it. Truly, a ‘grand vin'."
10613,Chateau de Beaucastel Hommage Jacques Perrin Chateauneuf-du-Pape 2001,"Chateauneuf-du-Pape, Rhone, France",Red Wine,99,"""The 2001 Chateauneuf du Pape Hommage a Jacques Perrin is a blend of 60% Mourvedre, 20% Grenache, 10% Counoise, and 10% Syrah. Full-bodied, excruciatingly backward, and nearly impenetrable, it boasts an inky/blue/purple color in addition to a promising nose of new saddle leather, melted asphalt, camphor, blackberries, smoky, roasted herbs, and Asian spices. A huge lashing of tannin as well as a formidable structure result in the antithesis of its more flattering, forward, and voluptuous sibling, the classic Beaucastel. Readers lucky enough to come across this cuvee should plan on waiting at least a decade before it begins to approach adolescence. Anticipated maturity: 2012-2040."""
10614,Chateau de Beaucastel Hommage Jacques Perrin Chateauneuf-du-Pape 2005,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"Deep black-ruby color. Profound aromas of black cherry, cassis, spice, leather and game, with an almost medicinal aspect. Very sweet entry, then firm and closed, almost too hard on the palate today. Extremely concentrated on the finish."
10615,Chateau de Beaucastel Hommage Jacques Perrin Chateauneuf-du-Pape 2009,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"Deep black-ruby color. Profound aromas of black cherry, cassis, spice, leather and game, with an almost medicinal aspect. Very sweet entry, then firm and closed, almost too hard on the palate today. Extremely concentrated on the finish. This is a wine to be kept for your retirement."
10616,Chateau de Beaucastel Hommage Jacques Perrin Chateauneuf-du-Pape 2009,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"Deep black-ruby color. Profound aromas of black cherry, cassis, spice, leather and game, with an almost medicinal aspect. Very sweet entry, then firm and closed, almost too hard on the palate today. Extremely concentrated on the finish. This is a wine to be kept for your retirement."
10617,Chateau de Beaucastel Hommage Jacques Perrin Chateauneuf-du-Pape 2009,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"Deep black-ruby color. Profound aromas of black cherry, cassis, spice, leather and game, with an almost medicinal aspect. Very sweet entry, then firm and closed, almost too hard on the palate today. Extremely concentrated on the finish. This is a wine to be kept for your retirement."
10892,Chateau de Saint Cosme Gigondas Hominis Fides 2010,"Gigondas, Rhone, France",Red Wine,97,"Hominis Fides always proposes a paradox: is it a masculine or a feminine wine? The debate is open. There is some depth with finesse, there is some power with fruit, there is some ripeness with freshness, it is secret but generous: being a paradox is the main characteristic of this soil. 2010 proposes a very interesting version of Hominis Fides, with very obvious fruit and freshness. This has notes of blueberry, rose and almonds. "
10901,Chateau de Saint Cosme Gigondas le Claux 2015,"Gigondas, Rhone, France",Red Wine,97,"Château de Saint Cosme Le Claux offers alluring notes of raspberry and roasted almond with subtle rustic nuances. The full body and solid structure create a wine to be enjoyed today or years from this point, due to its wonderful ability to age. "
10904,Chateau de Saint Cosme Gigondas le Poste 2010,"Gigondas, Rhone, France",Red Wine,98,"Le Poste is a favourite wine at Saint Cosme. It is everything they like in wine - it is a wine of fruit and a wine to keep, a wine of complexity and an easy to understand one, a wine of structure and a wine of freshness.  You'll find notes of Violet, almond, raspberry, and blackberry in this wine. "
10906,Chateau de Saint Cosme Gigondas le Poste 2012,"Gigondas, Rhone, France",Red Wine,97,"Le Poste is probably the easiest wine to recognize because its style is distinctive : the most feminine and the most charming of our Gigondas wines. With a south / south-west exposure to sun, Le Poste works really well in cool years such as 2008 for example. In 2012, we had at Le Poste a perfectly accomplished ripening. Try to keep these bottles from 10 to 15 years."
11076,Chateau Doisy Daene L'Extravagant Sauternes (375ML half-bottle) 2001,"Sauternes, Bordeaux, France",,98,"""Liquid honey in appearance. Incredibly ripe with dried apricot, orange and mace. Full-bodied, thick and powerful with amazing richness and spiciness. It goes on and on and on. This concentration is phenomenal. Yet it's lively and spicy. Huge finish. Best after 2012. 140 cases made."""
11077,Chateau Doisy Daene L'Extravagant Sauternes (375ML half-bottle) 2009,"Sauternes, Bordeaux, France",Collectible,98,"Doisy Daëne wine has a style of its own that privileges a bursting fruit concentrated by the ""noble rot"", strength, balance and subtlety of the flavors. The Doisy-Daëne style is all at once the expression of a great calcareous soil and a truly aesthetic family tradition, the one of distinguished white wines, of crystal-like purity, combining power and freshness, in an infinite youth. "
11135,Chateau Ducru-Beaucaillou (1.5 Liter Futures Pre-Sale) 2018,"St-Julien, Bordeaux, France",Red Wine,98,"Deep, intense, brillant purple-black color. Vivid and attractive. Aromas redolent of black fruits, hint of graphite and violets.Powerful and elegant structure, fleshy, rich, polished tannins, remarkable length risen by a wonderful freshness. A new standard."
11136,Chateau Ducru-Beaucaillou (1.5 Liter Futures Pre-Sale) 2019,"St-Julien, Bordeaux, France",Red Wine,99,"Blend: 80% Cabernet Sauvignon, 20% Merlot"
11140,Chateau Ducru-Beaucaillou (1.5 Liter Magnum) 2015,"St-Julien, Bordeaux, France",Red Wine,97,#84  
11141,Chateau Ducru-Beaucaillou (1.5 Liter Magnum) 2016,"St-Julien, Bordeaux, France",Red Wine,97,"Blend: 85% Cabernet Sauvignon, 15% Merlot"
11160,Chateau Ducru-Beaucaillou 2015,"St-Julien, Bordeaux, France",Red Wine,97,#84 
11161,Chateau Ducru-Beaucaillou 2016,"St-Julien, Bordeaux, France",Red Wine,97,"Blend: 85% Cabernet Sauvignon, 15% Merlot"
11164,Chateau Ducru-Beaucaillou (6-Pack OWC Futures Pre-Sale) 2019,"St-Julien, Bordeaux, France",Red Wine,99,"Blend: 80% Cabernet Sauvignon, 20% Merlot"
11172,Chateau Ducru-Beaucaillou (Futures Pre-Sale) 2018,"St-Julien, Bordeaux, France",Red Wine,98,"Deep, intense, brillant purple-black color. Vivid and attractive. Aromas redolent of black fruits, hint of graphite and violets.Powerful and elegant structure, fleshy, rich, polished tannins, remarkable length risen by a wonderful freshness. A new standard."
11173,Chateau Ducru-Beaucaillou (Futures Pre-Sale) 2019,"St-Julien, Bordeaux, France",Red Wine,99,"Blend: 80% Cabernet Sauvignon, 20% Merlot"
11200,Chateau Durfort-Vivens (Futures Pre-Sale) 2019,"Margaux, Bordeaux, France",Red Wine,97,"Blend: 90% Cabernet Sauvignon, 10% Merlot"
11201,Chateau d'Yquem Sauternes (1.5 Liter Magnum) 1989,"Sauternes, Bordeaux, France",,97,"Rich, opulent concentrated and full-bodied. Medium gold with a honeyed, oaky, flowery, tropical fruit bouquet, magnificent and unique."
11202,Chateau d'Yquem Sauternes 1975,"Sauternes, Bordeaux, France",Collectible,97,"Rich, opulent concentrated and full-bodied. Medium gold with a honeyed, oaky, flowery, tropical fruit bouquet, magnificent and unique. "
11204,Chateau d'Yquem Sauternes 1986,"Sauternes, Bordeaux, France",Collectible,98,"Blend 80% Semillon, 20% Sauvignon Blanc. Average age of vines 30 years. 100% barrel fermented. Aged for 31/2 years (100% new) ""perfect"""
11206,Chateau d'Yquem Sauternes 1990,"Sauternes, Bordeaux, France",Collectible,97,"Rich, opulent concentrated and full-bodied. Medium gold with a honeyed, oaky, flowery, tropical fruit bouquet, magnificent and unique."
11217,Chateau d'Yquem Sauternes 2015,"Sauternes, Bordeaux, France",Collectible,98,"Blend: 75% Semillon, 25% Sauvignon"
11229,Chateau d'Yquem Sauternes (375ML half-bottle) 2011,"Sauternes, Bordeaux, France",Collectible,97,"Discovering Chateau d'Yquem starts with the bouquet. Although not always very outgoing in young vintages, it is marked by fruit (apricot, mandarin, and occasionally tropical fruit) and oak (vanilla and toasty aromas). Older vintages, on the other hand, have an extraordinarily complex fragrance as soon as the bottle is opened. The bouquet is amazingly subtle, with hints of dried fruit (dried apricot, prune, stewed fruit, and marmalade), spice (cinnamon, saffron, and licorice), and even flowers (linden blossom, etc.). The first impression on the palate is always very silky, and often sumptuous. It then fills out, ""coating the palate."" This fine wine has a strong, but never overbearing character, with great elegance and poise. It always maintains a balance between sugar and acidity (sweetness and freshness)."
11230,Chateau d'Yquem Sauternes (375ML half-bottle) 2013,"Sauternes, Bordeaux, France",Collectible,97,"This was a year of tremendous contrasts. Spring was abnormally cool and wet, which meant that flowering was very spread out – a factor conducive to complexity at Yquem. Summer was magnificent! Cool weather in September retained the grapes' freshness, whereas summerlike conditions returned in October. The harvest took place under ideal conditions. This 2013 is very ""botrytised"", with richness and candied fruit flavors. The wine's freshness and power are comparable to 2001 and the degree of botrytis is reminiscent of 2007."
11259,Chateau Figeac (1.5 Liter Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,99,"An attractive, deep, bright, purple color. An expressive, air-light nose leads on to Figeac freshness and aromatics, followed by floral notes mingling harmoniously with nuances of fruit and underpinned by aromas of blackcurrants and raspberries. The palate is expressive and vibrant, cadenced by a clean powerful entry, an enveloping and velvety mid-palate reminiscent of 2015 vintage, and a fresh, lean finish accompanied by tannins of a finesse and minerality that recall the 2016 vintage. The greatness of this vintage is embodied by the amazing harmony between the round and eveloping Merlot, the fresh and elegant Cabernet Franc, and the lace-textured, tender Cabernet Sauvignon. The Chateau Figeac 2018 delivers here the perfect chord from its famous three grape varieties.  "
11260,Chateau Figeac (1.5 Liter Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,98,"The color of the 2019 with its deep, brilliant, amaranthine red hue and bright purple glints testifies to the beautiful ripeness of this vintage. The nose is intensely aromatic, pure and reveals great finesse. Our Cabernets find their full expression through notes of flowers and fruit, such as blueberries and Mara Des Bois strawberries. Delicious and dense on the entry to the palate, the wine develops harmoniously on the mid-palate with the gentle, enveloping texture of the Merlot. Showing exceptional length of favor, the wine maintains a balance that follows right through to the finish, in which the fine, mineral texture of the Cabernets is elevated by the freshness of the fruit flavor. 2019 will go down in the history of Château-Figeac as one of its benchmark vintages."
11263,Chateau Figeac (1.5 Liter Magnum) 2015,"St. Emilion, Bordeaux, France",Red Wine,97,"The aromatic depth of the Cabernets is exceptional. A variation of floral scents brought by the Cabernet Franc completes the freshness of the fruity and spicy bouquet of the Cabernet Sauvignon. It is a true color chart of sensations for the palate. The juicy flesh of the Merlot envelops this whole and gives a full midpalate to the velvety texture. The tannic structure accompanies the wine towards a long and persistent finish, respecting the style of Chateau Figeac. "
11274,Chateau Figeac 2015,"St. Emilion, Bordeaux, France",Red Wine,97,"The aromatic depth of the Cabernets is exceptional. A variation of floral scents brought by the Cabernet Franc completes the freshness of the fruity and spicy bouquet of the Cabernet Sauvignon. It is a true color chart of sensations for the palate. The juicy flesh of the Merlot envelops this whole and gives a full midpalate to the velvety texture. The tannic structure accompanies the wine towards a long and persistent finish, respecting the style of Chateau Figeac. "
11276,Chateau Figeac 6-Pack OWC (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,99,"An attractive, deep, bright, purple color. An expressive, air-light nose leads on to Figeac freshness and aromatics, followed by floral notes mingling harmoniously with nuances of fruit and underpinned by aromas of blackcurrants and raspberries. The palate is expressive and vibrant, cadenced by a clean powerful entry, an enveloping and velvety mid-palate reminiscent of 2015 vintage, and a fresh, lean finish accompanied by tannins of a finesse and minerality that recall the 2016 vintage. The greatness of this vintage is embodied by the amazing harmony between the round and eveloping Merlot, the fresh and elegant Cabernet Franc, and the lace-textured, tender Cabernet Sauvignon. The Chateau Figeac 2018 delivers here the perfect chord from its famous three grape varieties.  "
11277,Chateau Figeac 6-Pack OWC (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,98,"The color of the 2019 with its deep, brilliant, amaranthine red hue and bright purple glints testifies to the beautiful ripeness of this vintage. The nose is intensely aromatic, pure and reveals great finesse. Our Cabernets find their full expression through notes of flowers and fruit, such as blueberries and Mara Des Bois strawberries. Delicious and dense on the entry to the palate, the wine develops harmoniously on the mid-palate with the gentle, enveloping texture of the Merlot. Showing exceptional length of favor, the wine maintains a balance that follows right through to the finish, in which the fine, mineral texture of the Cabernets is elevated by the freshness of the fruit flavor. 2019 will go down in the history of Château-Figeac as one of its benchmark vintages."
11278,Chateau Figeac (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,99,"An attractive, deep, bright, purple color. An expressive, air-light nose leads on to Figeac freshness and aromatics, followed by floral notes mingling harmoniously with nuances of fruit and underpinned by aromas of blackcurrants and raspberries. The palate is expressive and vibrant, cadenced by a clean powerful entry, an enveloping and velvety mid-palate reminiscent of 2015 vintage, and a fresh, lean finish accompanied by tannins of a finesse and minerality that recall the 2016 vintage. The greatness of this vintage is embodied by the amazing harmony between the round and eveloping Merlot, the fresh and elegant Cabernet Franc, and the lace-textured, tender Cabernet Sauvignon. The Chateau Figeac 2018 delivers here the perfect chord from its famous three grape varieties.  "
11279,Chateau Figeac (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,98,"The color of the 2019 with its deep, brilliant, amaranthine red hue and bright purple glints testifies to the beautiful ripeness of this vintage. The nose is intensely aromatic, pure and reveals great finesse. Our Cabernets find their full expression through notes of flowers and fruit, such as blueberries and Mara Des Bois strawberries. Delicious and dense on the entry to the palate, the wine develops harmoniously on the mid-palate with the gentle, enveloping texture of the Merlot. Showing exceptional length of favor, the wine maintains a balance that follows right through to the finish, in which the fine, mineral texture of the Cabernets is elevated by the freshness of the fruit flavor. 2019 will go down in the history of Château-Figeac as one of its benchmark vintages."
